ID	MA1	MA4	MA6	MA7	MA13	MA26	MA34	Y5	Y7	Y8	Y9	Y13
7.30_439.2688m/z	116387.7053	101755.4017	81120.78057	95311.76799	90494.25928	85375.69947	216951.7853	204583.0779	113942.6237	196628.7676	374421.2472	157703.841
6.10_383.1264m/z	28256.24341	15746.62412	60074.88966	38882.0551	62587.95749	35072.64493	62231.35229	186962.2475	217762.9459	45209.22984	32960.09234	92531.78994
3.22_252.1229m/z	131094.0516	110324.6794	40918.48032	102150.1769	62110.06884	152403.0088	47881.00528	54007.10359	32841.29309	31033.76601	27967.48693	40413.20902
8.64_368.2217m/z	60059.75612	53015.07407	156997.0015	120578.6373	69202.02222	120556.8198	49646.6494	184463.9764	184622.0471	121228.3534	102903.8924	172709.1972
8.58_341.2832m/z	18544.10098	10637.67321	5502.734628	21370.72031	30104.0299	21448.85893	25771.25356	33477.77679	51504.93832	101069.4662	56551.25578	106812.1062
7.74_457.2941m/z	103324.7501	140053.6331	113808.6192	128103.0681	166032.2557	145554.3019	161923.8313	77136.92055	57278.0011	81022.82937	85327.75831	73770.39932
7.42_290.2241n	4961.311521	4822.191961	6791.077198	7231.467995	11658.50292	8304.969935	11356.04627	24565.17292	38037.30204	89185.65041	87817.4345	122119.3713
4.04_306.1906m/z	167079.6363	187561.0375	104483.4248	281271.9771	247305.2917	307614.3814	260718.5342	136539.5615	164277.0927	163385.7449	125784.6363	125706.7212
9.26_390.3124n	119532.9515	92995.85759	47398.9566	113955.183	47609.04629	108245.0004	62715.35186	23539.95541	14336.25465	15399.74458	17720.20969	20696.26195
5.41_341.1495m/z	20173.24042	41254.62176	28190.6033	61014.82952	69964.55174	38936.72143	46606.33937	78037.28118	152245.4507	106088.9537	115038.604	105162.6255
6.06_245.1855m/z	4187.466099	725.4135658	1072.771917	2647.761504	818.7236873	1.27646E-06	1.27646E-06	275.0839885	181583.2269	110909.9352	2791.850682	46736.75817
3.43_321.1549m/z	195923.9035	151493.7955	69802.82366	158891.1251	122072.8161	171831.8113	105417.9158	101672.4044	23784.31677	37471.8005	63962.88761	61548.21686
7.68_424.3051m/z	169084.7137	207276.6194	149663.1116	157500.4445	297047.1294	205365.6422	215296.5865	156433.7024	125013.1143	154786.7418	118766.0427	139844.0784
7.49_251.1637m/z	11866.28385	19901.51668	34196.38944	39735.94809	49824.76203	17250.6439	28898.48979	64630.45799	93923.20563	73675.93469	94587.52724	63134.63074
8.51_633.3559m/z	56198.18901	52796.2958	203928.2139	47094.97799	163249.8084	58846.05908	121691.6481	1.27646E-06	2249.238698	22191.93628	57425.62647	43960.87163
